Building Address,Building Name,Building Park,Submarket Name,Submarket Cluster,County Name,PropertyType,Building Class,Building Status,Year Built,Year Renovated,Number Of Stories,Last Sale Price,Last Sale Date,For Sale Status,For Sale Price,Land Area (AC),Rentable Building Area,Typical Floor Size,Number Of Elevators,Core Factor,Percent Leased,Average Weighted Rent,Services,Total New Space (SF),Total Relet Space (SF),Total Sublet Space (SF),Total Vacant Avail Relet Space (SF),Total Vacant Avail Sublet Space (SF),Max Building Contiguous Space,Max Floor Contiguous Space,Total Available Space (SF),Amenities,Zoning,Number Of Parking Spaces,Parking Ratio,Building Operating Expenses,Building Tax Expenses,Location 1,Borough,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
120 W 44th St,,,Times Square,Midtown,Manhattan,Office,B,Existing,1930,,17,,,N,,0.1722,120000,7500,2,,100,-,,,,,,,,,,Property Manager on Site,C6-5.5,,,2010 Tax @ $4.69/sf; 2001 Ops @ $8.18/sf,2010 Tax @ $4.69/sf; 2001 Ops @ $8.18/sf,"(40.756461, -73.983952)",1,10036,40.756461,-73.983952,5,4,119,1022616,1009960043,Midtown-Midtown South                                                      
1551-1553 Broadway,,,Times Square,Midtown,Manhattan,Retail,,Existing,2009,,3,,,N,,0.11,25000,8333,0,,100,-,,,,,,,,,,"Bus Line, Metro/Subway",C6-7T,,,2010 Tax @ $20.83/sf; 2010 Est Ops @ $15.64/sf,2010 Tax @ $20.83/sf; 2010 Est Ops @ $15.64/sf,"(40.758805, -73.985312)",1,10036,40.758805,-73.985312,5,3,125,1083727,1010180026,Midtown-Midtown South                                                      
1500 Broadway,Times Square Plaza,,Times Square,Midtown,Manhattan,Office,A,Existing,1974,,33,,,N,,0.5825,501358,15193,10,,83.53,Negotiable,,,96609,30628,82589,0,38550,14020,127237,"24/7 Building Access, Bus Line, Concierge, Metro/Subway, On Site Management, Property Manager on Site, Restaurant",C6-7T,,,2011 Tax @ $16.50/sf; 2011 Est Ops @ $20.86/sf,2011 Tax @ $16.50/sf; 2011 Est Ops @ $20.86/sf,"(40.756856, -73.985973)",1,10036,40.756856,-73.985973,5,4,119,1022610,1009960001,Midtown-Midtown South                                                      
115 W 45th St,,,Times Square,Midtown,Manhattan,Office,B,Existing,1925,,12,,,N,,0.1033,43644,3637,0,,83.1,40.82,Direct - Plus All Utilities,,7375,0,7375,0,4200,4200,7375,"24/7 Building Access, Bus Line, Metro/Subway",C6-5.5,,,1999 Tax @ $4.61/sf; 1999 Ops @ $9.64/sf,1999 Tax @ $4.61/sf; 1999 Ops @ $9.64/sf,"(40.757078, -73.983411)",1,10036,40.757078,-73.983411,5,4,119,1022640,1009980024,Midtown-Midtown South                                                      
1634-1642 Broadway,,,Columbus Circle,Midtown,Manhattan,Retail,,Existing,1910,,5,,,N,,0.5439,16000,6673,0,,100,-,,,,,,,,,,,C6-7,,,2001 Tax @ $4.35/sf; 2001 Ops @ $13.81/sf,2001 Tax @ $4.35/sf; 2001 Ops @ $13.81/sf,"(40.761566, -73.983944)",1,10019,40.761566,-73.983944,5,4,131,1024810,1010220026,Midtown-Midtown South                                                      
694 Eighth Ave,,,Times Square,Midtown,Manhattan,Office,B,Existing,1900,,5,,,N,,0.1148,23000,4950,0,,100,-,Direct - Plus Electric,,,,,,,,,"24/7 Building Access, Signage",C6-4,,,2008 Tax @ $12.54/sf,2008 Tax @ $12.54/sf,"(40.758383, -73.98894)",1,10036,40.758383,-73.98894,5,3,119,1078853,1010150061,Midtown-Midtown South                                                      
165 W 47th St,,,Times Square,Midtown,Manhattan,Office,C,Existing,1909,,4,,,N,,0.0557,8000,2000,0,,100,-,,,,,,,,,,,C6-7T,,,2008 Tax @ $83.06/sf,2008 Tax @ $83.06/sf,"(40.758744, -73.983504)",1,10036,40.758744,-73.983504,5,4,125,1083718,1010000001,Midtown-Midtown South                                                      
830 Eighth Ave,,,Columbus Circle,Midtown,Manhattan,Office,B,Under Renovation,1986,2011,10,4500000,5/11/1996,N,,0.0402,22000,2200,1,,100,-,,,,,,,,,,"24/7 Building Access, On Site Management, Property Manager on Site",C6-4,,,"2010 Tax @ $11.86/sf; 2001 Ops @ $13.40/sf, 2010 Est Ops @ $3.43/sf","2010 Tax @ $11.86/sf; 2001 Ops @ $13.40/sf, 2010 Est Ops @ $3.43/sf","(40.762381, -73.986026)",1,10019,40.762381,-73.986026,5,3,131,1024808,1010220001,Midtown-Midtown South                                                      
730 Eighth Ave,,,Times Square,Midtown,Manhattan,Retail,,Existing,1920,,4,850000,6/10/1992,N,,0.028,3476,987,0,,100,-,,,,,,,,,,,"C6-4, New York",,,2008 Tax @ $12.35/sf,2008 Tax @ $12.35/sf,"(40.759365, -73.988229)",1,10036,40.759365,-73.988229,5,3,119,1024720,1010170003,Midtown-Midtown South                                                      
251 W 45th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1958,,7,,,N,,0.3691,45584,6511,0,,100,-,,,,,,,,,,Pylon Sign,C6-5,,,2010 Tax @ $6.61/sf; 2010 Est Ops @ $4.66/sf,2010 Tax @ $6.61/sf; 2010 Est Ops @ $4.66/sf,"(40.758742, -73.987345)",1,10036,40.758742,-73.987345,5,3,119,1024724,1010170007,Midtown-Midtown South                                                      
