Building Address,Building Name,Building Park,Submarket Name,Submarket Cluster,County Name,PropertyType,Building Class,Building Status,Year Built,Year Renovated,Number Of Stories,Last Sale Price,Last Sale Date,For Sale Status,For Sale Price,Land Area (AC),Rentable Building Area,Typical Floor Size,Number Of Elevators,Core Factor,Percent Leased,Average Weighted Rent,Services,Total New Space (SF),Total Relet Space (SF),Total Sublet Space (SF),Total Vacant Avail Relet Space (SF),Total Vacant Avail Sublet Space (SF),Max Building Contiguous Space,Max Floor Contiguous Space,Total Available Space (SF),Amenities,Zoning,Number Of Parking Spaces,Parking Ratio,Building Operating Expenses,Building Tax Expenses,Location 1,Borough,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
230 W 41st St,The New Herald Tribune Bldg,,Times Square,Midtown,Manhattan,Office,B,Existing,1923,2002,20,59990000,7/13/2000,N,,0.6428,302000,26500,8,,100,Negotiable,Direct - Plus Electric,,37248,7899,0,7899,13340,9009,45147,On Site Management,"M1-6, New York",,,"2011 Tax @ $6.44/sf; 2011 Ops @ $17.36/sf, 2010 Est Ops @ $16.12/sf","2011 Tax @ $6.44/sf; 2011 Ops @ $17.36/sf, 2010 Est Ops @ $16.12/sf","(40.755802, -73.988482)",1,10036,40.755802,-73.988482,5,3,113,1080830,1010120015,Midtown-Midtown South                                                      
240 W 52nd St,,,Columbus Circle,Midtown,Manhattan,Retail,,Existing,1920,,5,,,N,,0.0918,14300,2860,0,,0,Negotiable,,,14300,0,14300,0,14300,4000,14300,,C6-5,,,2008 Tax @ $4.94/sf,2008 Tax @ $4.94/sf,"(40.762999, -73.983922)",1,10019,40.762999,-73.983922,5,3,131,1080862,1010230053,Midtown-Midtown South                                                      
213 W 40th St,,,Times Square,Midtown,Manhattan,Office,C,Existing,1910,,6,2800000,8/1/1996,N,,0.0574,14000,2500,0,,100,Negotiable,Direct - Plus Electric,,1700,0,0,0,1700,1700,1700,24/7 Building Access,"M1-6, Manhattan",,,"2011 Tax @ $5.34/sf; 2011 Ops @ $5.13/sf, 2010 Est Ops @ $7.05/sf","2011 Tax @ $5.34/sf; 2011 Ops @ $5.13/sf, 2010 Est Ops @ $7.05/sf","(40.755039, -73.988554)",1,10018,40.755039,-73.988554,5,3,113,1024645,1010120025,Midtown-Midtown South                                                      
725 Seventh Ave,,,Times Square,Midtown,Manhattan,Office,C,Existing,1920,,5,,,N,,0.0574,10625,2125,0,,100,-,,,,,,,,,,,C6-7T,,,"2010 Tax @ $27.25/sf; 1995 Ops @ $7.36/sf, 2010 Est Ops @ $24.96/sf","2010 Tax @ $27.25/sf; 1995 Ops @ $7.36/sf, 2010 Est Ops @ $24.96/sf","(40.760018, -73.984038)",1,10019,40.760018,-73.984038,5,4,125,1022689,1010010003,Midtown-Midtown South                                                      
1601-1611 Broadway,Crowne Plaza,,Times Square,Midtown,Manhattan,Office,A,Existing,1989,,48,,,N,,0.8996,200533,28418,7,,100,36,Sublet - Plus Electric,,0,50086,0,50086,50086,25693,50086,"Concierge, Conferencing Facility, Fitness Center, Hotel, Property Manager on Site, Restaurant",C6-7.5,,,2008 Tax @ $32.64/sf,2008 Tax @ $32.64/sf,"(40.760375, -73.985189)",1,10036,40.760375,-73.985189,5,3,125,1076195,1010200046,Midtown-Midtown South                                                      
355-365 W 46th St,,,Times Square,Midtown,Manhattan,Office,B,Existing,1920,,4,,,N,,0.0459,8000,2000,1,,100,-,,,,,,,,,,,R8,,,2001 Tax @ $3.42/sf; 2001 Ops @ $4.45/sf,2001 Tax @ $3.42/sf; 2001 Ops @ $4.45/sf,"(40.760441, -73.989438)",1,10036,40.760441,-73.989438,4,3,127,1025046,1010370009,Clinton                                                                    
353 W 46th St,,,Times Square,Midtown,Manhattan,Office,C,Existing,1910,,4,2000000,11/29/1997,N,,0.0436,4043,1025,0,,100,-,,,,,,,,,,,"R-8, New York",,,2010 Tax @ $6.09/sf; 2010 Est Ops @ $10.39/sf,2010 Tax @ $6.09/sf; 2010 Est Ops @ $10.39/sf,"(40.760425, -73.989398)",1,10036,40.760425,-73.989398,4,3,127,1025082,1010370109,Clinton                                                                    
7 Times Sq,Times Square Tower,,Times Square,Midtown,Manhattan,Office,A,Existing,2004,,48,,,N,,0.5153,1238797,25808,26,,98.11,74.41,Direct - Plus Electric,,29210,17584,23437,17584,17584,17584,46794,"Bus Line, Corner Lot, Energy Star Labeled, LEED Registered, Metro/Subway",NZS,,,2011 Tax @ $13.85/sf; 2011 Est Ops @ $13.38/sf,2011 Tax @ $13.85/sf; 2011 Est Ops @ $13.38/sf,"(40.755915, -73.986681)",1,10036,40.755915,-73.986681,5,3,113,1086069,1009940001,Midtown-Midtown South                                                      
215-219 W 42nd St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1919,,6,,,N,,0.4723,30392,7500,0,,100,-,,,,,,,,,,,C6-7.5,,,2010 Tax @ $0.82/sf,2010 Tax @ $0.82/sf,"(40.756351, -73.987677)",1,10036,40.756351,-73.987677,5,3,119,1024684,1010140020,Midtown-Midtown South                                                      
725 Eighth Ave,,,Times Square,Midtown,Manhattan,Retail,,Existing,1925,,4,,,N,,0.04,6600,1800,0,,100,-,,,,,,,,,,,C6-4,,,2010 Tax @ $26.02/sf; 2010 Est Ops @ $5.74/sf,2010 Tax @ $26.02/sf; 2010 Est Ops @ $5.74/sf,"(40.759513, -73.988146)",1,10036,40.759513,-73.988146,4,3,121,1025012,1010360033,Clinton                                                                    
300 W 43rd St,,,Times Square,Midtown,Manhattan,Office,C,Existing,1928,,6,,,N,,0.287,72038,12006,3,,100,45,Direct - Plus Electric,,3600,17316,0,0,2500,2500,20916,,C6-4,,,"2011 Tax @ $5.36/sf; 2011 Ops @ $14.24/sf, 2010 Est Ops @ $15.49/sf","2011 Tax @ $5.36/sf; 2011 Ops @ $14.24/sf, 2010 Est Ops @ $15.49/sf","(40.758081, -73.989731)",1,10036,40.758081,-73.989731,4,3,121,1083728,1010330036,Clinton                                                                    
307-311 W 46th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,,,1,15813790,8/16/2003,N,,0.14,5280,5281,0,,100,-,,,,,,,,,,,R8 (G6),,,2010 Tax @ $10.41/sf; 2010 Est Ops @ $1.98/sf,2010 Tax @ $10.41/sf; 2010 Est Ops @ $1.98/sf,"(40.760029, -73.988467)",1,10036,40.760029,-73.988467,4,3,127,,,Clinton                                                                    
741-743 Eighth Ave,,,Times Square,Midtown,Manhattan,Retail,,Existing,1920,,5,,,N,,0.13,17465,3493,0,,100,-,,,,,,,,,,,C6-4,,,2008 Tax @ $8.10/sf,2008 Tax @ $8.10/sf,"(40.759988, -73.987792)",1,10036,40.759988,-73.987792,4,3,127,1089687,1010377501,Clinton                                                                    
1600 Broadway,,,Times Square,Midtown,Manhattan,Retail,,Existing,2006,,2,,,N,,,30000,12000,0,,100,-,,,,,,,,,,,,,,,,"(40.76035, -73.984713)",1,10019,40.76035,-73.984713,5,4,125,1087187,1010207502,Midtown-Midtown South                                                      
732 Eighth Ave,,,Times Square,Midtown,Manhattan,Retail,,Existing,1910,,4,1450000,3/2/2004,N,,0.044,4621,1155,0,,100,-,,,,,,,,,,,"C6-4, County",,,2008 Tax @ $13.21/sf,2008 Tax @ $13.21/sf,"(40.759401, -73.988204)",1,10036,40.759401,-73.988204,5,3,119,1024721,1010170004,Midtown-Midtown South                                                      
366 W 46th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1920,2002,5,3700000,5/11/2006,N,,0.0386,3200,1600,0,,100,-,,,,,,,,,,"Mezzanine, Signage, Street parking only",C1-5/R-8,,,2010 Tax @ $7.50/sf; 2010 Ops @ $12.81/sf,2010 Tax @ $7.50/sf; 2010 Ops @ $12.81/sf,"(40.760532, -73.989691)",1,10036,40.760532,-73.989691,4,3,121,1025034,1010360159,Clinton                                                                    
234-236 W 44th St,,,Times Square,Midtown,Manhattan,Office,B,Existing,1927,,11,,,N,,0.1309,53200,5200,2,,94.47,45,Direct - Modified Gross,,2944,0,2944,0,1884,1884,2944,,C6-5,,,"2011 Tax @ $5.77/sf; 2011 Ops @ $14.65/sf, 2010 Est Ops @ $15.04/sf","2011 Tax @ $5.77/sf; 2011 Ops @ $14.65/sf, 2010 Est Ops @ $15.04/sf","(40.757921, -73.987421)",1,10036,40.757921,-73.987421,5,3,119,1024707,1010150049,Midtown-Midtown South                                                      
318-320 W 46th St,,,Times Square,Midtown,Manhattan,Office,B,Existing,1928,,6,,,N,,0.101,24308,4051,0,,100,-,,,,,,,,,,,R8,,,2008 Tax @ $4.28/sf,2008 Tax @ $4.28/sf,"(40.760117, -73.98872)",1,10036,40.760117,-73.98872,4,3,121,1025014,1010360041,Clinton                                                                    
711 Seventh Ave,,,Times Square,Midtown,Manhattan,Retail,,Existing,1925,,3,,,N,,0.1377,17400,3341,0,,100,-,,,,,,,,,,,C6-7T,,,"2011 Tax @ $24.32/sf; 2011 Ops @ $16.42/sf, 2010 Est Ops @ $19.34/sf","2011 Tax @ $24.32/sf; 2011 Ops @ $16.42/sf, 2010 Est Ops @ $19.34/sf","(40.759543, -73.98437)",1,10036,40.759543,-73.98437,5,4,125,1022687,1010000064,Midtown-Midtown South                                                      
233 W 49th St,,,Times Square,Midtown,Manhattan,Office,C,Existing,1948,,9,6100000,12/14/1995,N,,0.124,48600,5400,0,,100,-,,,,,,,,,,,"C65, New York",,,2001 Tax @ $3.14/sf; 2001 Ops @ $4.52/sf,2001 Tax @ $3.14/sf; 2001 Ops @ $4.52/sf,"(40.761102, -73.985218)",1,10019,40.761102,-73.985218,5,3,125,1088603,1010217501,Midtown-Midtown South                                                      
1619 Broadway,Brill Bldg,,Times Square,Midtown,Manhattan,Office,B,Existing,1931,,11,151000000,11/5/2003,N,,0.3444,175000,15909,4,,100,55,Sublet - Plus Electric,,43644,6972,0,6972,31417,12227,50616,Corner Lot,C6-7.5,,,"2011 Tax @ $11.06/sf; 2011 Ops @ $12.55/sf, 2010 Est Ops @ $13.02/sf","2011 Tax @ $11.06/sf; 2011 Ops @ $12.55/sf, 2010 Est Ops @ $13.02/sf","(40.761058, -73.98433)",1,10019,40.761058,-73.98433,5,3,125,1024793,1010210019,Midtown-Midtown South                                                      
370-372 W 46th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1920,,4,,,N,,0.0248,10233,2558,0,,94.14,30,,,600,0,600,0,600,600,600,,R8,,,2008 Tax @ $2.16/sf,2008 Tax @ $2.16/sf,"(40.760565, -73.989774)",1,10036,40.760565,-73.989774,4,3,121,1025035,1010360161,Clinton                                                                    
156-158 W 48th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1920,1969,5,,,N,,0.0781,11796,2359,0,,100,-,,,,,,,,,,Signage,C6-5.5,,,2010 Tax @ $16.28/sf; 2010 Est Ops @ $12.93/sf,2010 Tax @ $16.28/sf; 2010 Est Ops @ $12.93/sf,"(40.759296, -73.982905)",1,10105,40.759296,-73.982905,5,4,125,1022681,1010000056,Midtown-Midtown South                                                      
832 Eighth Ave,,,Columbus Circle,Midtown,Manhattan,Office,C,Existing,1920,,4,,,N,,0.3444,6000,1200,0,,100,-,,,,,,,,,,,C6-4,,,"2011 Tax @ $5.48/sf; 2011 Ops @ $28.52/sf, 2010 Est Ops @ $6.48/sf","2011 Tax @ $5.48/sf; 2011 Ops @ $28.52/sf, 2010 Est Ops @ $6.48/sf","(40.762444, -73.985983)",1,10019,40.762444,-73.985983,5,3,131,1024809,1010220002,Midtown-Midtown South                                                      
225-229 W 42nd St,The New 42nd St Studios,,Times Square,Midtown,Manhattan,Retail,,Existing,2000,,10,,,N,,0.3089,84000,7500,2,,100,-,,,,,,,,,,,C6-5,,,2010 Tax @ $12.95/sf; 2010 Est Ops @ $15.71/sf,2010 Tax @ $12.95/sf; 2010 Est Ops @ $15.71/sf,"(40.756508, -73.988042)",1,10036,40.756508,-73.988042,5,3,119,1024683,1010140017,Midtown-Midtown South                                                      
373 W 46th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1920,,4,,,N,,0.0231,2880,720,0,,100,-,,,,,,,,,,,R8,,,2010 Tax @ $4.08/sf; 2010 Est Ops @ $8.68/sf,2010 Tax @ $4.08/sf; 2010 Est Ops @ $8.68/sf,"(40.760598, -73.989803)",1,10036,40.760598,-73.989803,4,3,127,1025077,1010370101,Clinton                                                                    
244 W 48th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1910,,4,,,N,,0.0424,8958,2239,0,,100,-,,,,,,,,,,,C6-5,,,2008 Tax @ $5.56/sf,2008 Tax @ $5.56/sf,"(40.76052, -73.985817)",1,10036,40.76052,-73.985817,5,3,125,1024765,1010190059,Midtown-Midtown South                                                      
1585 Broadway,Morgan Stanley Bldg,,Times Square,Midtown,Manhattan,Office,A,Existing,1990,,41,,,N,,1.31,1350000,57062,26,,99.95,Negotiable,,,626,0,626,0,626,626,626,"Bus Line, Commuter Rail, Concierge, Fitness Center, Metro/Subway, On Site Management, Property Manager on Site",C6-7.5,,,,,"(40.760216, -73.985334)",1,10036,40.760216,-73.985334,5,3,125,1076193,1010197502,Midtown-Midtown South                                                      
1625 Broadway,,,Times Square,Midtown,Manhattan,Retail,,Existing,1942,,2,,,N,,0.0467,5000,2500,0,,100,-,,,,,,,,,,,C6-7T,,,2009 Tax @ $31.43/sf,2009 Tax @ $31.43/sf,"(40.761223, -73.984207)",1,10019,40.761223,-73.984207,5,3,125,1024801,1010210043,Midtown-Midtown South                                                      
253 W 51st St,,,Columbus Circle,Midtown,Manhattan,Office,B,Existing,1991,,3,,,N,,0.09,5309,1769,0,,88.7,60,Direct - Full Service Gross,,600,0,600,0,600,600,600,,C6-4,,,"2010 Tax @ $10.47/sf, 2011 Est Tax @ $10.35/sf; 2011 Est Ops @ $2.75/sf","2010 Tax @ $10.47/sf, 2011 Est Tax @ $10.35/sf; 2011 Est Ops @ $2.75/sf","(40.762491, -73.984618)",1,10019,40.762491,-73.984618,5,3,131,1082805,1010230104,Midtown-Midtown South                                                      
140a W 46th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1920,,5,,,N,,0.0344,6358,1272,0,,100,-,,,,,,,,,,,C6-5.5,,,2009 Tax @ $6.23/sf,2009 Tax @ $6.23/sf,"(40.757899, -73.983479)",1,10036,40.757899,-73.983479,5,4,119,,,Midtown-Midtown South                                                      
750 Eighth Ave,Retail Portion of Res. Bldg.,,Times Square,Midtown,Manhattan,Retail,,Existing,2008,,43,16250000,3/21/2007,N,,0.3444,31431,15000,0,,78.49,225,Direct - Plus Electric,,6761,0,6761,0,6761,6761,6761,Street parking only,"C6-4, New York, (L8)",,,,,"(40.759878, -73.98785)",1,10036,40.759878,-73.98785,5,3,125,1024736,1010187502,Midtown-Midtown South                                                      
1633 Broadway,Paramount Plaza,,Columbus Circle,Midtown,Manhattan,Office,A,Existing,1971,1989,48,980000000,8/14/2007,N,,2.0764,2438049,47701,40,,87.51,56.3,Direct - Plus Electric,,304562,31791,304562,6915,222517,50144,336353,"24/7 Building Access, Energy Star Labeled, Fitness Center, Metro/Subway, On Site Management",C6-7.5,,0.1,"2010 Tax @ $11.10/sf, 2011 Est Tax @ $10.98/sf; 2001 Ops @ $17.79/sf, 2011 Est Ops @ $15.81/sf","2010 Tax @ $11.10/sf, 2011 Est Tax @ $10.98/sf; 2001 Ops @ $17.79/sf, 2011 Est Ops @ $15.81/sf","(40.761574, -73.983962)",1,10019,40.761574,-73.983962,5,3,131,1024812,1010220043,Midtown-Midtown South                                                      
343 W 46th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1915,,3,3600000,9/17/2003,N,,0.0436,4832,1611,0,,100,-,,,,,,,,,,"Mixed Use, Restaurant",R8/C1-5,,,2008 Tax @ $7.32/sf,2008 Tax @ $7.32/sf,"(40.76034, -73.989196)",1,10036,40.76034,-73.989196,4,3,127,1025083,1010370113,Clinton                                                                    
147-149 W 46th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1920,2006,4,18000000,10/6/2006,N,,0.0867,13460,3308,0,,100,-,,,,,,,,,,,C6-5.5,,,2010 Tax @ $12.96/sf; 2010 Est Ops @ $4.12/sf,2010 Tax @ $12.96/sf; 2010 Est Ops @ $4.12/sf,"(40.757965, -73.983587)",1,10036,40.757965,-73.983587,5,4,125,1022675,1009990111,Midtown-Midtown South                                                      
253 W 43rd St,,,Times Square,Midtown,Manhattan,Retail,,Existing,,,5,,,N,,,17987,3597,0,,100,-,,,,,,,,,,,,,,,,"(40.757342, -73.987933)",1,10036,40.757342,-73.987933,5,3,119,1024705,1010150010,Midtown-Midtown South                                                      
262 W 41st St,,,Times Square,Midtown,Manhattan,Office,C,Existing,1923,,8,,,N,,0.1134,35600,4450,0,,100,-,,,,,,,,,,Property Manager on Site,C6-7.5,,,,,"(40.756074, -73.989128)",1,10036,40.756074,-73.989128,5,3,113,1087186,1010127501,Midtown-Midtown South                                                      
121 W 45th St,Connolly's Pub,,Times Square,Midtown,Manhattan,Retail,,Existing,1920,,3,4500000,8/7/1998,N,,0.0715,9429,3143,0,,100,-,,,,,,,,,,,"C6-5.5, New York",,,"2011 Tax @ $14.91/sf; 2011 Ops @ $7.08/sf, 2010 Est Ops @ $6.38/sf","2011 Tax @ $14.91/sf; 2011 Ops @ $7.08/sf, 2010 Est Ops @ $6.38/sf","(40.75713, -73.983533)",1,10036,40.75713,-73.983533,5,4,119,1022638,1009980021,Midtown-Midtown South                                                      
11 Times Sq,Eleven Times Square,,Times Square,Midtown,Manhattan,Office,A,Existing,2010,,40,,,N,,0.06,1111960,27727,0,24,38.09,Negotiable,,,688417,0,633417,0,353551,40856,688417,"24/7 Building Access, A/C, Atrium, Bus Line, Card Key Access, Commuter Rail, Concierge, Corner Lot, LEED Certified - Gold, LEED Registered, Mail Room, Metro/Subway, On Site Management, Property Manager on Site, Restaurant, Signage",C6-7,,,,,"(40.756898, -73.990023)",1,10036,40.756898,-73.990023,5,3,113,1087978,1010137501,Midtown-Midtown South                                                      
141 W 41st St,,,Penn Plaza/Garment,Midtown,Manhattan,Office,C,Existing,1900,,5,4500000,1/31/2004,N,,0.0562,8545,1375,1,,82.45,60.45,Direct - Plus Electric,,6700,0,1500,0,5200,2200,6700,Food Service,C5-3,,,"2011 Tax @ $7.33/sf; 2001 Ops @ $6.48/sf, 2011 Est Ops @ $9.16/sf","2011 Tax @ $7.33/sf; 2001 Ops @ $6.48/sf, 2011 Est Ops @ $9.16/sf","(40.754756, -73.985956)",1,10036,40.754756,-73.985956,5,4,113,1022574,1009940016,Midtown-Midtown South                                                      
690-692 Eighth Ave,,,Times Square,Midtown,Manhattan,Office,C,Existing,1920,,6,,,N,,0.1148,15000,2500,1,,100,-,Direct - Plus Electric,,,,,,,,,,C6-5,,,2001 Tax @ $14.92/sf; 2001 Ops @ $48.69/sf,2001 Tax @ $14.92/sf; 2001 Ops @ $48.69/sf,"(40.758273, -73.98902)",1,10036,40.758273,-73.98902,5,3,119,1024710,1010150059,Midtown-Midtown South                                                      
